id_registro,class_session,time_register,year,month,day,hour,minute,seconds,faceOrientation,emotionRatio,attendanceRatio,bodyActionRatio,no_interaction_ratio,prof_stud_ratio,stud_stud_ratio,stud_obj_ratio,body_detections,distractors_dic.Eating,distractors_dic.Sleeping,distractors_dic.Walking,distractors_dic.Withcellphone,distractors_dic.Withearphones,Engagement,Attention,Interaction,Distractions,__v,Class time,Time,LUX,oxygenVol,Temperature,Humidity,AQI,TVOC,eCO2
66fb349c7835ef5c35ec47d1,66fb26d67835ef5c35ebc3ed,30/09/2024 17:30:36,2024,9,30,17,30,36,0.94275312464167,0.745986698773077,0.678571428571429,1,0,1,0,0,19,0,0,0,0,0,62.0091486887153,81.5409643389519,76.4567464412666,33.6731125198617,0,02:02:40 a.m.,1727733711.01636,211,20.96087,31.17065,44.46363,1,43,442
66fb34a17835ef5c35ec4804,66fb26d67835ef5c35ebc3ed,30/09/2024 17:30:41,2024,9,30,17,30,42,0.964818463270476,0.662741970791506,0.678571428571429,0.987878787878788,0.137620399036808,0.771470510054102,0,0,19,0,0,0.009569377990431,0,0,64.4604763356698,79.4877959158145,76.2862593203151,34.3163104954901,0,02:02:45 a.m.,1727733716.02012,210,20.97042,31.18992,44.43865,1,40,436
66fb34a67835ef5c35ec4837,66fb26d67835ef5c35ebc3ed,30/09/2024 17:30:46,2024,9,30,17,30,47,0.980861244019139,0.738968633705476,0.678571428571429,0.975324675324675,0.261259655377302,0.738740344622698,0,0,19,0,0,0.019138755980861,0,0,68.8274016145533,81.3202513860409,77.5298093719146,36.3498563699802,0,02:02:50 a.m.,1727733721.02367,210,20.9736,31.16531,44.38429,1,41,439
66fb34af7835ef5c35ec487a,66fb26d67835ef5c35ebc3ed,30/09/2024 17:30:55,2024,9,30,17,30,55,1,0.694444444444444,0.642857142857143,0.967708333333333,0.062622549019608,0.937377450980392,0,0,18,0,0,0.027777777777778,0,0,62.5692839635854,79.0538194444444,75.515873015873,33.6763246965453,0,02:02:55 a.m.,1727733726.02887,211,20.97679,31.15311,44.39535,1,50,457
66fb34b47835ef5c35ec48ad,66fb26d67835ef5c35ebc3ed,30/09/2024 17:31:00,2024,9,30,17,31,1,0.952341597796143,0.619146005509642,0.785714285714286,0.938799762329174,0.096483633325739,0.85274929748614,0,0.050767069188122,22,0,0,0.045454545454546,0,0,64.4709664495057,80.7337681629126,81.9045651318379,33.9248528467498,0,02:03:00 a.m.,1727733731.04022,214,20.98554,31.18229,44.35806,1,48,452
66fb34ba7835ef5c35ec48e0,66fb26d67835ef5c35ebc3ed,30/09/2024 17:31:06,2024,9,30,17,31,6,0.995670995670996,0.621918432444748,0.75,0.935128596893303,0.069375573921029,0.879017447199266,0,0.051606978879706,21,0,0,0.047619047619048,0,0,63.7535147015164,80.1112406685162,81.0893141945773,33.7209359893008,0,02:03:05 a.m.,1727733736.05165,214,21.00146,31.16264,44.3409,1,41,437
66fb34bf7835ef5c35ec4913,66fb26d67835ef5c35ebc3ed,30/09/2024 17:31:11,2024,9,30,17,31,11,0.991341991341991,0.656244951221028,0.785714285714286,0.93507448433919,0.038064859117491,0.908421678081121,0,0.053513462801389,22,0,0,0.045454545454546,0,0,64.2911099810375,82.1531157591353,83.4455663953272,34.0644057173399,0,02:03:10 a.m.,1727733741.06119,210,21.04922,31.18668,44.32592,1,52,461
66fb34c47835ef5c35ec4946,66fb26d67835ef5c35ebc3ed,30/09/2024 17:31:16,2024,9,30,17,31,17,1,0.673684210526316,0.714285714285714,0.942000891265597,0.078372498049532,0.885415070044257,0,0.036212431906212,20,0,0,0.045454545454546,0,0,64.0517318352598,80.3921275447978,79.593984962406,34.0834331412716,0,02:03:15 a.m.,1727733746.06893,219,21.04067,31.19907,44.35434,1,45,447
66fb34ca7835ef5c35ec4979,66fb26d67835ef5c35ebc3ed,30/09/2024 17:31:21,2024,9,30,17,31,22,0.973114604693552,0.66347687400319,0.75,0.901480137509549,0.107420410530458,0.860889827875474,0,0.031689761594068,21,0,0,0.047619047619048,0,0,64.3721575298236,79.9706443582218,80.8282068808385,33.9549202673675,0,02:03:20 a.m.,1727733751.07565,214,21.03092,31.18935,44.31438,1,47,451
66fb34cf7835ef5c35ec49ac,66fb26d67835ef5c35ebc3ed,30/09/2024 17:31:27,2024,9,30,17,31,28,0.945192526771474,0.73526999316473,0.785714285714286,0.914819387230026,0.037259242539991,0.962740757460009,0,0,22,0,0,0.041322314049587,0,0,64.2295294477078,82.930122411441,82.8513328776487,34.1825543542051,0,02:03:25 a.m.,1727733756.08029,208,21.0747,31.17924,44.41442,1,50,458
